rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,inicial
m/1_night,1 Night One Night,"Past and present collide as two couples explore love over the course of one night at a hotel. Thirty-something Elizabeth must decide whether to salvage her relationship with Drew after much personal disappointment. Meanwhile, Bea, a worrisome teenager, reconnects with her introverted childhood friend, Andy, to overcome their difference in high school status following their prom.",,NR,"Drama, Romance",Minhal Baig,Minhal Baig,"Anna Camp, Justin Chatwin, Isabelle Fuhrman, Kyle Allen, Kelli Berglund, Roshon Fegan, Evan Hofer, Alexander Roberts",2017-02-10,2017-03-23,80.0,Sorrento Productions,Rotten,33.0,6.0,Upright,61.0,157.0,4,2,4,1
m/1000_times_good_night,"1,000 Times Good Night","A war-zone photojournalist's (Juliette Binoche) dedication to her dangerous job places her at odds with her family (Nikolaj Coster-Waldau, Lauryn Canny).","Beautifully filmed and powerfully acted, 1,000 Times Good Night achieves absorbing fact-based drama without overindulging in Hollywood contrivances.",NR,Drama,Erik Poppe,Harald Rosenløw-Eeg,"Juliette Binoche, Nikolaj Coster-Waldau, Lauryn Canny, Chloë Annett, Adrianna Cramer Curtis, Bush Moukarzel, Eve Macklin, Mads Ousdal, Maria Doyle Kennedy, Larry Mullen Jr., Des Nealon, Jonathan Byrne, Najat Azgar, Zoubida Afik, Jameela Shafaq, Omar Elmouden, Caitriona Nimhurchu, Stephen Mullan, Carl Shaaban, Peter Sexton, Denise McCormack, Anna Leah Thorseth Poppe",2014-10-24,2016-08-10,117.0,Film Movement,Fresh,71.0,55.0,Upright,65.0,1884.0,22,39,16,1
m/10,10,"A successful, middle-aged Hollywood songwriter falls hopelessly in love with the woman of his dreams, and even follows the girl and her new husband to their Mexican honeymoon resort. While his behavior seems sure to land him in trouble, out of the blue fate plays into his hands.","Blake Edwards' bawdy comedy may not score a perfect 10, but Dudley Moore's self-deprecating performance makes this midlife crisis persistently funny.",R,"Comedy, Romance",Blake Edwards,Blake Edwards,"Dudley Moore, Bo Derek, Julie Andrews, Robert Webber, Dee Wallace, Sam Jones III, Sam J. Jones, Brian Dennehy, Max Showalter, Rad Daly, Nedra Volz, James Noble, Virginia Kiser, John Hawker, Deborah Rush, Don Calfa, Walter George Alton, Annette Martin, John Hancock, Lorry Goldman, Arthur Rosenberg, Mari Gorman, Marcy Hanson, Julia Jennings, Senilo Tanney, Kitty DeCarlo, William Lucking, Owen Sullivan, Debbie White, Laurence Carr, Camila Ashland, Adrian Aron, Gail Bowman, Burke Byrnes, Michael Champion, Doug Sheehan, J. Victor Lopez, Gregory Chase, Jon Linton, Ellen Clark, Antonia Ellis, John Chappell, Lynn Farrell, Art Kassul, Denise Crosby, Jeanetta Arnette",1979-10-05,2014-07-24,122.0,Waner Bros.,Fresh,67.0,24.0,Spilled,53.0,14684.0,2,16,8,1
m/10_cent_pistol,10 Cent Pistol,"When a high-stakes scheme goes horribly wrong, two brothers must take on the craziest job of their criminal careers, and pray they get out alive.",,R,"Drama, Mystery & Suspense",Michael C. Martin,Michael C. Martin,"Damon Alexander, J.T. Alexander, Jena Malone, Joe Mantegna, Adam Arkin, Thomas Ian Nicholas, Brendan Sexton III, Jessica Szohr, Amir Talai, Kevin Brief, Emilio Rivera, Steve Cell, Alex Beh, Adam Clark, Bridget Colella, William Echeverri, Kiko Ellsworth, Lauren Fray, Colby French",2015-07-24,2015-07-24,91.0,eOne Entertainment,Rotten,43.0,7.0,Spilled,29.0,108.0,2,3,4,1
m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Smart, solidly crafted, and palpably tense, 10 Cloverfield Lane makes the most of its confined setting and outstanding cast -- and suggests a new frontier for franchise filmmaking.",PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Dan Trachtenberg,"Josh Campbell, Matthew Stuecken, Damien Chazelle","Mary Elizabeth Winstead, John Goodman, John Gallagher Jr., Bradley Cooper, Cindy Hogan, Mat Vairo, Maya Erskine, Douglas M. Griffin, Suzanne Cryer, Jamie Clay, Sumalee Montano, Frank Mottek",2016-03-11,2016-05-31,103.0,Bad Robot Productions,Certified-Fresh,90.0,309.0,Upright,79.0,60918.0,52,278,31,1
m/10_minutes_gone,10 Minutes Gone,A man loses his memory after a bank heist goes wrong.,,R,"Action & Adventure, Mystery & Suspense",Brian A. Miller,"Kelvin Mao, Jeff Jingle","Michael Chiklis, Bruce Willis, Meadow Williams, Kyle Schmid, Lydia Hull, Lala Kent, Texas Battle, Swen Temmel, John D. Hickman, Sergio Rizzuto, Tyler Jon Olson",2019-09-27,2019-09-27,88.0,Lionsgate,Rotten,0.0,7.0,Spilled,18.0,84.0,3,0,7,1
m/1176779-10_mph,10 Mph,Two men quit their jobs to try to become filmmakers.,,NR,"Documentary, Special Interest",Hunter Weeks,Hunter Weeks,"Hunter Weeks, Gannon Weeks, J. Fred Keough, Josh Caldwell, Alon Waisman",,2015-08-07,92.0,Spinning Blue,Fresh,80.0,5.0,Upright,64.0,541.0,1,4,1,1
m/10_questions_for_the_dalai_lama,10 Questions For The Dalai Lama,Filmmaker Rick Ray poses philosophical questions to the Dalai Lama while visiting his East Indian monastery.,,NR,"Documentary, Special Interest, Faith & Spirituality",Rick Ray,Rick Ray,"Rick Ray, The Dalai Lama",2007-10-23,2015-03-19,85.0,Monterey Media,Fresh,79.0,14.0,Upright,73.0,242.0,8,11,3,1
m/10_rules_for_sleeping_around,10 Rules For Sleeping Around,Two couples come up with 10 rules for a happy and healthy open relationship.,,R,Comedy,Leslie Greif,Leslie Greif,"Tammin Sursok, Wendi McLendon-Covey, Michael McKean, Lucila Solá, Virginia Williams, Jesse Bradford, Bill Bellamy, Chris Marquette, Bryan Callen, Reid Ewing, Molly McCook, Jaymee Renee Smith, Corey Saunders, Zakiya Alta Lee, Madison Weidberg, Michael Corbett, Leslie Greif, Simone Griffeth, Lalia Gohar, Bonnie Johnson, Mills Allison, Deja Dee, Eric Keinberg, Juan Veizaga, Chad Squires, Shaun O'Rourke",2014-04-04,2014-04-04,94.0,Screen Media Films,Rotten,0.0,8.0,Spilled,11.0,393.0,5,0,8,1
m/10_things_i_hate_about_you,10 Things I Hate About You,"Kat Stratford (Julia Stiles) is beautiful, smart and quite abrasive to most of her fellow teens, meaning that she doesn't attract many boys. Unfortunately for her younger sister, Bianca (Larisa Oleynik), house rules say that she can't date until Kat has a boyfriend, so strings are pulled to set the dour damsel up for a romance. Soon Kat crosses paths with handsome new arrival Patrick Verona (Heath Ledger). Will Kat let her guard down enough to fall for the effortlessly charming Patrick?","Julia Stiles and Heath Ledger add strong performances to an unexpectedly clever script, elevating 10 Things (slightly) above typical teen fare.",PG-13,Comedy,Gil Junger,"Karen McCullah Lutz, Kirsten Smith","Larisa Oleynik, Julia Stiles, Heath Ledger, Andrew Keegan, Joseph Gordon-Levitt, David Krumholtz, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl 'Chill' Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Tarance Houston, Fraser Cameron, Eric Reidman, Quinn Maixner, Demegio Kimbrough, Todd Butler, Benjamin Laurence, Aidan Kennedy, Jelani Quinn, Joshua Thorpe, Heather Taylor, Brian Hood, Aaron Therol, Alice Evans, Travis B. Miller, Laura Kenny, Dennis Mosley, Bianca Kajlich, Nick Vukelic, Jesse Dyer, Carlos La Camara, J.R. Johnson, Wendy Gottlieb, Ari Karczag, Jesper Inglis, Nick Brown, Monique Powell, Brian Mashburn, Kay Hanley, Michael Eisenstein, Craig Hoskins",1999-03-31,2014-10-02,97.0,Buena Vista Pictures,Fresh,69.0,78.0,Upright,69.0,32104911.0,19,54,24,1
