rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,inicial
m/a_bad_moms_christmas,A Bad Moms Christmas,"Under-appreciated and overburdened moms Amy, Kiki and Carla rebel against the challenges and expectations of the Super Bowl for moms: Christmas. As if creating the perfect holiday for their families isn't hard enough, they'll have to do it while hosting and entertaining their own respective mothers when they come to visit.","Featuring twice the moms but roughly half the laughs, A Bad Moms Christmas is a slapdash holiday sequel that falls short of the original with a disappointing dearth of good cheer.",R,Comedy,Jon Lucas,Jon Lucas,"Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, Cheryl Hines, Peter Gallagher, Justin Hartley, David Walton, Christine Baranski, Susan Sarandon",2017-11-01,2018-01-23,104.0,STXfilms,Rotten,32.0,129.0,Spilled,44.0,13280.0,31,41,88,A
m/a_bag_of_hammers,A Bag Of Hammers,"A pair of aimless scam artists (Jason Ritter, Jake Sandvig) in Los Angeles learn about responsibility when a neighbor's abandoned boy (Chandler Canterbury) enters their lives.",,NR,"Comedy, Drama",Brian Crano,"Brian Crano, Jake Sandvig","Jason Ritter, Jake Sandvig, Chandler Canterbury, Rebecca Hall, Todd Louiso, Gabriel Macht, Carrie Preston, Amanda Seyfried, Josh Cooke, Micah Hauptman, Jordan-Claire Green, Ricardo Chacon, Greg Clark, Devika Parikh, Philip Pavel, Barbara Rossmiesl, Johnny Simmons, Cameron Palatas, Glenn McCuen, Erik Eidem, Patrick Hebel, Elmarie Wendel, Sally Kirkland, Kenyetta Lethridge, Dale Waddington Horowitz",2012-05-11,2016-03-18,85.0,MPI Media Group,Fresh,62.0,21.0,Upright,66.0,498.0,9,13,8,A
m/a_band_called_death_2013,A Band Called Death,Filmmakers Mark Covino and Jeff Howlett tell the story of the Hackney brothers and how the discovery of their long-lost demo tape led to their band's newfound popularity.,"A Band Called Death is not only a fascinating portrait of a pioneering rock group, but also a tribute to family ties and perseverance in the face of hardship.",NR,"Documentary, Musical & Performing Arts","Jeff Howlett, Mark Christopher Covino",,"Bobby Hackney, Sr., Dannis Hackney, David Hackney, Bobbie Duncan",2013-06-28,2016-11-19,98.0,Drafthouse Films,Certified-Fresh,94.0,52.0,Upright,85.0,5280.0,20,49,3,A
m/10011735-beautiful_life,A Beautiful Life,A teenage runaway (Angela Sarafyan) falls in love with an illegal immigrant (Jesse Garcia) who works in a Los Angeles strip club.,,NR,Drama,Alejandro Chomski,"Wendy Hammond, Deborah Calla","Ronnie Gene Blevins, Karthikeyan Saran, Jonathan LaPaglia, Angela Sarafyan, Bai Ling, Stefan Banica Jr., Tuba Ünsal, Debi Mazar, Meltem Cumbul, Andreea Marin Banica, Saadet Isil Aksoy, Stefan Banica, Dana Delany, Rena Owen, Jesse J. Garcia",2009-10-02,2019-05-17,81.0,New Films International,Rotten,0.0,12.0,Spilled,24.0,147.0,8,0,12,A
m/beautiful_mind,A Beautiful Mind,"A human drama inspired by events in the life of John Forbes Nash Jr., and in part based on the biography ""A Beautiful Mind"" by Sylvia Nasar. From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery.",The well-acted A Beautiful Mind is both a moving love story and a revealing look at mental illness.,PG-13,Drama,Ron Howard,Akiva Goldsman,"Russell Crowe, Jennifer Connelly, Ed Harris, Christopher Plummer, Paul Bettany, Adam Goldberg, Josh Lucas, Anthony Rapp, Jason Gray-Stanford, Judd Hirsch, Austin Pendleton, Vivien Cardone, Jill Marie Simon, Victor Steinbach, Tanya Clarke, Thomas F. Walsh, Jesse Doran, Kent Cassella, Patrick Blindauer, John Blaylock, Roy Thinnes, Anthony Easton, Cheryl Howard, Rance Howard, Jane Jenkins, Darius Stone, Josh Pais, Alex Toma, Valentina Cardinalli, Teagle F. Bougere, David B. Allen, Michael Esper, Catharina Eva Burkley, Amy Walz, Tracey Toomey, Jennifer Weedon, Yvonne Thomas, Holly Pitrago, Isadore Rosenfeld, Thomas C. Allen, Dave Bayer, Brian Keith Lewis, Tom McNutt, Will Dunham, Glenn Roberts, Ed Jupp Jr., Christopher Stockton, Gregory Dress, Carla Occhiogrosso, Matt Samson, Lyena Nomura, Kathleen Fellegara, Betsy Klompus, Stelio Savante, Logan McCall, Bob Broder",2001-12-21,2013-08-20,135.0,Universal Pictures,Certified-Fresh,74.0,213.0,Upright,93.0,490923.0,47,158,55,A
m/a_beginners_guide_to_endings,A Beginners Guide To Endings,"Three brothers (Scott Caan, Paulo Costanzo, Jason Jones) try to reverse a lifetime of mistakes before their time is up.",,R,"Comedy, Drama",Jonathan Sobol,Jonathan Sobol,"Harvey Keitel, Scott Caan, Jason Jones, Paulo Costanzo, J.K. Simmons, Tricia Helfer, Jared Keeso, Siam Yu, Wendy Crewson, Allison Graham, Stephen McHattie, Horace Abel, Horace Fox, Rufus Crawford, James Preston Rogers, Richard Blackburn, Jesse Bostick",,2016-03-24,96.0,Entertainment One,Rotten,33.0,6.0,Spilled,48.0,207.0,2,2,4,A
m/a_better_life,A Better Life,"Carlos Galindo (Demián Bichir), a Mexican illegal immigrant and veteran Los Angeles day laborer, has trouble connecting with his son, Luis (José Julián), whose gang-affiliated girlfriend is tempting him to ignore his father's example of clean living. Carlos buys a truck to begin working as a self-employed man and earn more money, but when it is stolen, his hopes for a more affluent life are dashed. Unable to turn to the police for help, father and son embark on a quest to find the vehicle.","Powered by a terrific performance from Demián Bichir, A Better Life is an immigrant story told with simplicity and an ample amount of heart.",PG-13,Drama,"Chris Weitz, Cédric Kahn","Roger L. Simon, Eric Eason","Demian Bichir, José Julián, Dolores Heredia, Joaquín Cosio, Nancy Lenehan, Tim Griffin, Eddie 'Piolín' Sotelo, Gabriel Chavarria, Carlos Linares, Trampas Thompson, Valorie Hubbard, Isabella Rae Thomas, Robert Anthony Peters, Richard Cabral, Isabella Balajadia, Giselle Nieto, Luis A. Colocio, Ray Moreno, Yelyna de Leon, Rolando Molina, Taide Acosta, Joe Renteria, Isidro Vallin, Magi Avila, Harry Ambriz, Henry Ambriz, Miguel Alejandro Gaxiola, Jorge Gaxiola, Robert Renderos, Charles Currier, Marlon Correa, Adrian Mojica, Todd Felix, J. Eddie Martinez, Jason Medwin, Tom Schanley, Abraham Chaidez, Alexandre Desplat",2011-06-24,2016-10-12,98.0,Summit Entertainment,Certified-Fresh,85.0,107.0,Upright,79.0,12300.0,41,91,16,A
m/better_tomorrow,A Better Tomorrow,A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Ti Lung) for the death of their father.,,R,"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Hae-sung Song,"Hing-Ka Chan, Suk-Wah Leung","Yun-Fat Chow, Leslie Cheung, Lung Ti, Young Pao I, Emily Chu, Lee Tse Ho, Kenneth Tsang Kong, John Woo, Waise Lee, Joo Jin-Mo, Song Seung-heon, Kang-woo Kim, Han Sun Jo, Jin-mo Ju, Kyeong-Yeong Lee, Seung-heon Song, Hae-gon Kim, Hyeong-jun Lim, Ji-yeong Kim",2010-10-14,2016-03-09,91.0,CJ Entertainment,Fresh,93.0,14.0,Upright,90.0,18816.0,0,13,1,A
m/a_bigger_splash_2016,A Bigger Splash,"While vacationing on a Sicilian island with her boyfriend (Matthias Schoenaerts), a rock star (Tilda Swinton) receives an unexpected visit from an old flame (Ralph Fiennes) and his seductive daughter (Dakota Johnson).","Absorbing, visually arresting, and powerfully acted by an immensely talented cast, A Bigger Splash offers sumptuously soapy delights for fans of psychological adult drama.",R,"Art House & International, Drama, Mystery & Suspense, Special Interest",Luca Guadagnino,David Kajganich,"Ralph Fiennes, Dakota Johnson, Matthias Schoenaerts, Tilda Swinton, Aurore Clement, Lily McMenamy, Corrado Guzzanti, Elena Bucci, Alessandro Ferrara, Davide Maddalena, Salvatore Gabriele, Livio Franco Blandino, Vito Rodo, Giuseppe Spata, Antonino Bonomo, Tom Stickley, Jerry Popiel, Giampiero LaCerra, Taketo Gohara, Giafar Abdallah, Salvatore Cipri, Mahammedin Mahammed Ibrahim, Francesco LoPinto, Francesca Faccilongo, Youness Zrhaiba, Francesco Leone, Vito Giuseppe Rodo, Rosa Rodo, Tamara Rodo, Geovanny Pineda, Antonio Simone Farina, Fausto Amato, Camillo Piarulli, Vito Giusepe Rodo",2016-05-04,2016-10-12,125.0,StudioCanal,Certified-Fresh,90.0,181.0,Spilled,58.0,8569.0,45,162,19,A
m/bigger_splash,A Bigger Splash,"When David Hockney's beautiful lover, Peter Schlesinger, breaks up with him, it leaves David a complete emotional wreck. An artist, he suddenly finds himself unable to create anything, and is awash in depression and loneliness. After a time, David is able to find inspiration in his backyard swimming pool, and he begins a portrait of it. This unique docudrama presents a semi-fictionalized account of the story behind one of Hockney's most popular paintings.",,NR,"Documentary, Drama",Jack Hazan,,"David Hockney, Peter Schlesinger, Celia Birtwell, Mo McDermott, Henry Geldzahler, Kasmin, Ossie Clark",1974-10-03,2020-07-26,101.0,Home Vision Entertainment,Fresh,100.0,9.0,Spilled,42.0,98.0,4,9,0,A
