rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,inicial
m/baadasssss,Baadasssss,"Director Mario Van Peebles chronicles the complicated production of his father Melvin's classic 1971 film, ""Sweet Sweetback's Baadasssss Song."" Playing his father in the film, Van Peebles offers an unapologetic account of Melvin's brash and sometimes deceptive conduct on the set of the film, including questionable antics like writing bad checks, tricking a local fire department and allowing his son, Mario, to shoot racy sex scenes at the age of 11.",An entertaining and intriguing tribute to a father from his son.,R,Drama,Mario Van Peebles,"Mario Van Peebles, Dennis Haggerty","Mario Van Peebles, Joy Bryant, T.K. Carter, Terry Crews, Ossie Davis, David Alan Grier, Nia Long, Paul Rodriguez, Saul Rubinek, Vincent Schiavelli, Khleo Thomas, Rainn Wilson, Karimah Westbrook, Sally Struthers, Len Lesser, Jazsmin Lewis, Adam West, Ralph P. Martin, Robert Peters, Glenn Plummer, Khalil Kain, Pamela Gordon, Wesley Jonathan, Joseph Culp, John Singleton, Joan Blair, Penny Bae Bridges, Mandela Van Peebles, E.J. Callahan, Keith Diamond, Don Dowe, Brent Schaffer, Brian ""Skinny B"" Lewis, Mickey Mello, Christopher Michael, Tyrone M. Mitchell, Alan James Morgan, David Alan Smith, Nathan Wetherington, Robin McLiam Wilson, Robin Wilson, Paul Roach, Bridget Avildsen, Marley Van Peebles, Craig Jones, Maya Van Peebles, Kate Krystowiak, Anthony P. Rodriguez, Thomas Longo, Robert Yosses, Danny Hebert, Michele Hill, Les Miller, Bob Primes, Buzzxsassy, Robert Primes, Rey Diogo",2003-09-07,2012-07-10,108.0,Sony Pictures Classics,Certified-Fresh,91.0,109.0,Upright,84.0,4958.0,33,99,10,B
m/baaria---la-porta-del-vento,Baaria,Three generations of a Sicilian family tell their history.,,NR,"Art House & International, Classics, Comedy, Drama",Giuseppe Tornatore,"Giuseppe Tornatore, Maurizio Sabatini","Francesco Scianna, Ángela Molina, Nicole Grimaudo, Enrico Lo Verso, Margareth Madè, Michele Placido, Monica Bellucci, Raoul Bova, Laura Chiatti, Salvo Ficarra, Picone, Lollo Franco, Fabrizio Romano, Giovanni Gambino, Davide Viviani, Valentina Rubino, Giuseppe Russo, Gaetano Sciortino, Paolo Briguglia, Alessandro Di Carlo, Guiseppe Garufi, Beppe Fiorello, Aldo Baglio, Tony Sperandeo, Luigi Maria Burruano, Luigi Lo Cascio, Orio Scaduto, Franco Scaldati, Francesco Guzzo, Sebastiano Lo Monaco, Nino Frassica, Enrico Salimbeni, Leo Gullotta, Michele Russo, Giorgio Faletti, Gabriele Lavia, Vincenzo Salemme, Corrado Fortuna, Marcelo Mazzarella, Gaetano Aronica, Lina Sastri, Donatella Finocchiaro, Gisella Marengo, Elena Russo, Gaetano Bruno, Alfio Sorbello, Nino Russo, Ludovico Vitrano",2009-09-25,2016-08-10,150.0,Summit Entertainment,Rotten,55.0,11.0,Spilled,50.0,1220.0,3,6,5,B
m/1065598-babe,Babe,"Gentle farmer Arthur Hoggett (James Cromwell) wins a piglet named Babe (Christine Cavanaugh) at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly (Miriam Margolyes) and discovers that he too can herd sheep. But will the other farm animals, including Fly's jealous husband Rex, accept a pig who doesn't conform to the farm's social hierarchy?","The rare family-friendly feature with a heart as big as its special effects budget, Babe offers timeless entertainment for viewers of all ages.",G,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy",Chris Noonan,Chris Noonan,"James Cromwell, Magda Szubanski, Zoe Burton, Paul Goodard, Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn, Paul Goddard, David Webb, Marshall Napier, Evelyn Krape, Michael Edward-Stevens, Matthew Long, John Doyle, Charles Bartlett, Paul Livingston, Courtland Mead, Rosanna Huffman, Paige Pollack, Maeve Germaine, Jane Alden, Kerry Walker, Kimberly Bailey, Patrika Darbo, Michelle Davison, Julie Forsyth, Tina Lifford, Helen O'Connor, John Erwin, Jacqueline Brennan, Justin Monjo, Neil Ross, Doris Grau, Tony Hughes, Roscoe Lee Browne, Cindy Manella, Russi Taylor, Chris Noonan",1995-08-04,2015-01-01,94.0,Universal Pictures,Certified-Fresh,97.0,70.0,Upright,67.0,508807.0,21,68,2,B
m/babe_pig_in_the_city,Babe Pig In The City,"When Babe accidentally puts farmer Hoggett (James Cromwell) in traction, the debtors come looking for their payments. In order to pay their debt, Mrs. Hoggett (Magda Szubanski) sends Babe off across the ocean to the city to demonstrate his talents as a sheep herder. Along with his friends, Babe meets a lot of new friends and gets into new adventures.",Not quite as good as the original and has some dark subject material that might not be appropriate for children.,G,"Comedy, Kids & Family, Science Fiction & Fantasy",George Miller,"Dick-King Smith, Judy Morris, Mark Lamprell","James Cromwell, Elizabeth Daily, Magda Szubanski, Mary Stein, Mickey Rooney, Micheline Presle, E.G. Daily, Julie Godfrey, Glenne Headly, Danny Mann, James Cosmo, Adam Goldberg, Myles Jeffrey, Nathan Kress, Stanley Ralph Ross, Russi Taylor, Roscoe Lee Browne, Steven Wright",1998-11-25,2016-04-19,97.0,Universal Studios,Fresh,65.0,65.0,Spilled,41.0,64012.0,14,42,23,B
m/babel,Babel,"An accident connects four groups of people on three different continents: two young Moroccan goatherds, a vacationing American couple (Brad Pitt, Cate Blanchett), a deaf Japanese teen and her father, and a Mexican nanny who takes her young charges across a border without parental permission.","In Babel, there are no villains, only victims of fate and circumstance. Director Alejandro Gonzalez Iñarritu weaves four of their woeful stories into this mature and multidimensional film.",R,Drama,Alejandro González Iñárritu,"Guillermo Arriaga Jordan, Guillermo Arriaga","Brad Pitt, Cate Blanchett, Gael García Bernal, Adriana Barraza, Rinko Kikuchi, Koji Yakusho, Said Tarchani, Boubker Ait El Caid, Mustapha Rachidi, Elle Fanning, Nathan Gamble, Mohamed Akhzam, Harriet Walter, Trevor Martin, Matyelok Gibbs, Clifton Collins Jr., Georges Bousquet, Claudine Acs, Robert Esquivel, André Oumansky, Michael Peña, Michael Maloney, Dermot Crowley, Abdelaziz Merzoug, Omar El Mallouli, Sfia Ait Benboullah, Hammou Aghrar, Mohamed Ait Lahcen, Ali Hamadi, Lhacen Znin, Mustapha Amhita, Soukayna Ait Boufakri, Alex Jennings, Mohammed Bennani, Driss Roukhe, Wahiba Sahmi, Fadmael Ouali, Zahra Ahkouk, Abdelkader Bara, Ehou Mama, Mónica Del Carmen, Rosa Reyes, Damian Garcia, Cynthia Montaño, Maripaz Lopez, Polo Nuño, Emilio Echevarría, Peter Wight, Yuko Murata, Sanae Miura, Shigemitsu Ogi, Satoshi Nikaido, Kazunori Tozawa, Nobushige Suematsu, Shinji Suzuki, Kazuma Yamane",2006-10-27,2013-08-01,142.0,Paramount Classics,Fresh,69.0,200.0,Upright,77.0,377310.0,50,138,62,B
m/babes_in_arms,Babes In Arms,"Mickey Moran (Mickey Rooney) and Patsy Barton (Judy Garland) are aspiring entertainers and the children of vaudeville performers. Vaudeville is losing its popularity due to the success of the movie business, and Mickey and Patsy's parents are struggling to revitalize its popularity. After deciding to produce their own show in a bid to reach their dreams of stage stardom, the young couple runs into problems, including Mickey's jealous girlfriend and the threat of being sent to a work camp.",,NR,"Classics, Comedy, Musical & Performing Arts",Busby Berkeley,"Jack McGowan, Kay Van Riper","Mickey Rooney, Judy Garland, Charles Winninger, June Preisser, Guy Kibbee, Grace Hayes, Betty Jaynes, Douglas McPhail, Rand Brooks, Leni Lynn, Johnny Sheffield, John Sheffield, Henry Hull, Barnett Parker, Ann Shoemaker, Margaret Hamilton, Joseph Crehan, George McKay, Henry Roquemore, Leonard Parker, Lelah Taylor, Lon McCallister, Joe Caits",1939-10-31,2008-09-01,94.0,MGM,Fresh,83.0,6.0,Upright,70.0,1202.0,0,5,1,B
m/1001488-babes_in_toyland,Babes In Toyland,"Mary Contrary (Annette) is set to marry Tom Piper (Tommy Sands) when he is kidnapped by Roderigo (Gene Sheldon) and Gonzorgo (Henry Calvin), two goons working for the evil Barnaby (Ray Bolger). Barnaby wants to marry Mary for her inheritance. Instead of killing Tom as instructed, Roderigo and Gonzorgo sell him to Gypsies, which allows Tom to rescue Mary. Soon afterward, Tom and Mary encounter the odd Toymaker (Ed Wynn), who becomes a pawn in Barnaby's new scheme.",,G,"Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Jack Donohue,"Joe Rinaldi, Lowell Hawley, Ward Kimball, Lowell S. Hawley","Ray Bolger, Tommy Sands, Annette Funicello, Ed Wynn, Henry Calvin, Tommy Kirk, Ann Jillian, Kevin Corcoran, Gene Sheldon, Mary McCarty, Brian Corcoran, Marilee & Melanie Arnold, Jerry Glenn, John Perri, David Pinson, Bryan Russell, James Martin, Lana Dowding",1961-12-14,2016-03-02,106.0,Buena Vista,Rotten,36.0,11.0,Spilled,59.0,10335.0,1,4,7,B
m/march_of_the_wooden_soldiers,Babes In Toyland,"Stannie Dum (Stan Laurel) and Ollie Dee (Oliver Hardy) rent rooms in Mother Peep's shoe in Toyland. When Mother Peep can't make her mortgage payment to evil Silas Barnaby (Harry Kleinbach), he attempts to blackmail her into having Little Bo-Peep (Charlotte Henry) marry him, despite the girl's attachment to Tom-Tom Piper. Stannie and Ollie offer their assistance to Mother Peep, Bo-Peep and Piper, and later enlist an army of wooden soldiers to battle Barnaby's cave-dwelling bogeymen.",,NR,"Comedy, Musical & Performing Arts, Science Fiction & Fantasy","Gus Meins, Charles 'Buddy' Rogers","Frank Butler, Nick Grinde, Frank Butler","Stan Laurel, Oliver Hardy, Charlotte Henry, Felix Knight",1934-12-14,2016-06-29,73.0,MGM,Fresh,100.0,16.0,Upright,78.0,4626.0,2,16,0,B
m/babettes_feast,Babettes Feast Babettes Gaestebud,"Beautiful but pious sisters Martine (Birgitte Federspiel) and Philippa (Bodil Kjer) grow to spinsterhood under the wrathful eye of their strict pastor father on the forbidding and desolate coast of Jutland, until one day, Philippa's former suitor sends a Parisian refugee named Babette (Stéphane Audran) to serve as the family cook. Babette's lavish celebratory banquet tempts the family's dwindling congregation, who abjure such fleshly pleasures as fine foods and wines.","Charming and melancholy, Babette's Feast is a timeless Scandinavian treat that explores the complex relationships between people, beliefs, and what it means to be an artist.",G,"Art House & International, Drama, Romance",Gabriel Axel,Gabriel Axel,"Stéphane Audran, Birgitte Federspiel, Ghita Nørby, Jean-Phillippe La Font, Bodil Kjer, Jarl Kulle, Jean-Philippe Lafont, Vibeke Hastrup, Gudmar Wivesson, Bibi Andersson, Hanne Stensgaard, Bendt Rothe, Ebbe Rode, Lisbeth Movin, Michel Bouquet, Preben Lerdorff Rye, Pouel Kern, Axel Ströbye, Tina Kiberg, Ebba With, Else Peterson, Therese Hojgaard Christensen, Else Petersen, Asta Esper Andersen, Finn Nielsen, Erik Petersen, Lars Lohmann, Holger Perfort, Tine Miehe-Renard, Thomas Antoni, Gert Bastian, Viggo Bentzon, Cay Kristiansen, Bernadette Lafont",1987-08-28,2017-03-02,102.0,MGM Home Entertainment,Fresh,97.0,32.0,Upright,91.0,9311.0,5,31,1,B
m/10012014-babies,Babies,"Filmmaker Thomas Balmès criss-crosses the globe to observe and record the first two years in the lives of four infants and their families. Ponijao is the youngest of nine children and lives in a village in Namibia. Bayarjargal's family lives in Mongolia. Hattie is a San Francisco couple's first child, and Mari is the first child of a couple living in Tokyo.","Babies is a joyous celebration of humankind that's loaded with adorable images, but it lacks insight and depth.",PG,"Documentary, Special Interest","Thomas Balmès, Thomas Balmès",Thomas Balmès,"Tarererua, Hindere, Seiko, Fumito, Susie, Frazer, Mandakh, Purev",2010-05-07,2015-05-08,79.0,Focus Features,Fresh,68.0,116.0,Upright,62.0,35022.0,36,79,37,B
