rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,inicial
m/f,F,Teachers defend their school from a gang of murderous kids after they are besieged after hours.,,R,"Art House & International, Horror, Mystery & Suspense",Johannes Roberts,Johannes Roberts,"Eliza Bennett, Juliet Aubrey, David Schofield, Emma Cleasby, Ruth Gemmell, Finlay Robertson, Roxanne McKee, Tom Mannion, Max Fowler, Mike Burnside, Chris Adamason, Alex Ellis",2010-01-09,2014-02-04,79.0,Black Robe,Fresh,77.0,13.0,Spilled,23.0,306.0,5,10,3,F
m/f_for_fake,F For Fake,"Orson Welles' final film documents the lives of infamous fakers Elmyr de Hory and Clifford Irving. De Hory, who later committed suicide to avoid more prison time, made his name by selling forged works of art by painters like Picasso and Matisse. Irving was infamous for writing a fake autobiography of Howard Hughes. Welles moves between documentary and fiction as he examines the fundamental elements of fraud and the people who commit fraud at the expense of others.",F for Fake playfully poses intriguing questions while proving that even Orson Welles' minor works contain their share of masterful moments.,PG,"Documentary, Musical & Performing Arts, Special Interest, Television",Orson Welles,Orson Welles,"Orson Welles, Elmyr de Hory, Oja Kodar, Clifford Irving, Edith Irving, François Reichenbach, Joseph Cotten, Laurence Harvey, Richard Wilson, Paul Stewart, Howard Hughes, Sasa Devcic, Gary Graver, Andrés Vicente Gómez, Julio Palinkas, Christian Odasso, Francoise Widoff, Richard Drewitt, Peter Bogdanovich, William Alland",1974-09-01,2017-01-14,88.0,Saguenay Films,Certified-Fresh,88.0,50.0,Upright,89.0,7460.0,15,44,6,F
m/fx,F/X,"Rollie Tyler (Bryan Brown) is a special-effects expert for low-budget Hollywood movies. As gangster Nicholas DeFranco (Jerry Orbach) prepares to testify in court against his former bosses, FBI agents, fearing Nicholas will be killed by the mob before he can take the stand, decide to fake his assassination. The agents hire Rollie to use his special-effects skills to make the murder look believable. Leo McCarthy (Brian Dennehy), a detective, steps in to investigate the murder.","Smart, twisty, and perfectly cast, the effects-assisted neo-noir F/X reminds viewers that a well-told story is the most special effect of all.",R,"Action & Adventure, Mystery & Suspense",Robert Mandel,"Gregory Fleeman, Robert T. Megginson","Bryan Brown, Brian Dennehy, Diane Venora, Cliff De Young, Mason Adams, Jerry Orbach, Joe Grifasi, Martha Gehman, Roscoe Orman, Trey Wilson, Tom Noonan, Paul D'Amato, Jossie DeGuzman, Josie de Guzman, Jean De Baer, Mel Dowd, Tim Gallin, Patrick Stack, John Doumanian, Raymond Iannicelli, Ray Iannicelli, Ed Crowley, Gibby Brand, Jim Elliott, Christopher Curry, James Lovelett, George Kodisch, Jim Cordes, Richard Hayes, Christopher McHale, Jim Babchak, James Pickens Jr., Michael Fischetti, Angela Bassett, Yolanda Lloyd, Marvin Beck, James Babchak, John McLoughlin, Bernie Friedman, Drummond Erskine, Joe Pentangelo, Gerald Campbell",1986-02-07,2016-10-01,108.0,Orion,Fresh,88.0,25.0,Spilled,53.0,10108.0,5,22,3,F
m/fx_2_the_deadly_art_of_illusion,F/X 2 The Deadly Art Of Illusion,"Former movie special effects expert Rollie Tyler (Bryan Brown) has now become a maker of elaborate toys. When a police officer asks him to use his special effects skills to help catch an elusive killer, he teams up with old friend and private investigator Leo McCarthy (Brian Dennehy). Using a combination of old-fashioned detective work and movie magic, the two uncover a plot involving stolen gold and corrupt cops, while evading a mysterious assassin.",,PG-13,"Action & Adventure, Mystery & Suspense",Richard Franklin,Bill Condon,"Bryan Brown, Brian Dennehy, Rachel Ticotin, Joanna Gleason, Philip Bosco, Kevin J. O'Connor, Tom Mason, Dominic Zamprogna, Josie DeGuzman, John Walsh, Peter Boretski, Lisa Fallon, Lee Broker, Philip Akin, Gail Levin, Tony De Santis, Ross Petty, Dee McCafferty, Jeri Craden, Karie Stone, Phil Jarrett, Richard Sali, James Stacy, Neil Elliot, Leland Crooke, Biff Yeager, Foster Fell, Jack Orend, Jenifer Chatfield, Kurt Reis, Damir Andrei, Charles Ivey, Caroline Yeager, Arlene Duncan, Robert Kennedy, Dwayne McLean, Gerry Quigley, Harvey Chao, Harry Booker, Bob Clout, Jack Newman, Walker Boone, Michael Rhoades, Gene Mack, Shane Cardwell, Michael Woods, Matt Birman, Tony Katsaras, Dennis Scott, Cynthia Quinn, Karl Bauman",1991-05-10,2016-10-01,109.0,Orion Home Video,Rotten,38.0,16.0,Spilled,35.0,6722.0,3,6,10,F
m/face_to_face_2011,Face To Face,Tempers and emotions flare when 10 people have to decide the fate of a violent young man.,,NR,"Art House & International, Drama",Michael Rymer,"Michael Rymer, David Williamson","Vince Colosimo, Sigrid Thornton, Luke Ford, Matthew Newton, Robert Rabiah, Christopher Connelly, Ra Chapman, Josh Saks, Lauren Clair, Laura Gordon, Richard Sutherland",,2016-11-18,87.0,,Fresh,91.0,11.0,Upright,91.0,251.0,1,10,1,F
m/faceoff,Face/Off,"Obsessed with bringing terrorist Castor Troy (Nicolas Cage) to justice, FBI agent Sean Archer (John Travolta) tracks down Troy, who has boarded a plane in Los Angeles. After the plane crashes and Troy is severely injured, possibly dead, Archer undergoes surgery to remove his face and replace it with Troy's. As Archer tries to use his disguise to elicit information about a bomb from Troy's brother, Troy awakes from a coma and forces the doctor who performed the surgery to give him Archer's face.","John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.",R,Action & Adventure,John Woo,"Michael Colleary, Mike Werb, Gary Capo","John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon, Dominique Swain, Nick Cassavetes, Colm Feore, Harve Presnell, John Carroll Lynch, CCH Pounder, Robert Wisdom, Margaret Cho, Thomas Jane, Danny Masterson, James Denton, Matt Ross, Tommy Flanagan, Dana Smith, Romy Walthall, Paul Hipp, Kirk Baltz, Chris Bauer, Lauren Sinclair, Ben Reed, Del Zamora, Lisa Boyle, Linda Hoffman, Michael Rocha, Megan Paul, Mike Werb, Tom Reynolds, Steve Hytner, Myles Jeffrey, Carmen Thomas, Walter Scott, Brooke Leslie, David McCurley, Jamie Denton, Cam Brainard, David Warshofsky, John Neidlinger, Norm Copton, Gregg Shawzin, Clifford Einstein, Marco Kyris, Tom Fridley, Andrew Wallace, Jacinto Rodriguez, Mike Webb, Chic Daniel, John Bloom, Laurence Walsh",1997-06-27,2013-08-01,138.0,Paramount Pictures,Certified-Fresh,92.0,87.0,Upright,82.0,450321.0,28,80,7,F
m/faces,Faces,"Middle-aged suburban husband Richard (John Marley) abruptly tells his wife, Maria (Lynn Carlin), that he wants a divorce. As Richard takes up with a younger woman (Gena Rowlands), Maria enjoys a night on the town with her friends and meets a younger man (Seymour Cassel). As the couple and those around them confront a seemingly futile search for what they've lost -- love, excitement, passion -- this classic American independent film explores themes of aging and alienation.","Director John Cassavetes forgoes conventional style in this hard-bitten examination of a marriage, letting his actors tell the story through dialogue and their Faces to refreshing effect.",R,"Classics, Drama",John Cassavetes,John Cassavetes,"Gena Rowlands, John Marley, Lynn Carlin, Seymour Cassel, Frederick Draper, Fred Draper, Val Avery, Dorothy Gulliver, Joanne Moore Jordan, Darlene Conley, Gene Darfler, Elizabeth Deering, John Hale, Midge Ware, Laurie Mock, Christina Crawford, James Bridges, David Rowlands, O.G. Dunn, George Sims, John Neilson",1968-11-24,2016-08-10,130.0,Criterion Collection,Fresh,83.0,24.0,Upright,87.0,5623.0,2,20,4,F
m/faces_in_the_crowd,Faces In The Crowd,A serial killer closes in on a woman (Milla Jovovich) who no longer recognizes people's faces after barely surviving a deadly attack.,,R,"Horror, Mystery & Suspense",Julien Magnat,Julien Magnat,"Milla Jovovich, Julian McMahon, Michael Shanks, David Atrakchi, Sarah Wayne Callies, Marianne Faithfull, Valentina Vargas",,2017-05-22,102.0,Millennium Entertainment,Rotten,0.0,5.0,Spilled,34.0,1782.0,0,0,5,F
m/faces_places,"Faces Places Visages, Villages",Director Agnès Varda and photographer and muralist JR journey through rural France and form an unlikely friendship.,"Equal parts breezily charming and poignantly powerful, Faces Places is a unique cross-generational portrait of life in rural France from the great Agnès Varda.",PG,"Art House & International, Documentary","JR, Agnès Varda",,"Agnès Varda, JR",2017-10-06,2018-02-27,89.0,Cohen Media Group,Certified-Fresh,99.0,141.0,Upright,89.0,2379.0,29,139,2,F
m/facing_the_giants,Facing The Giants,"Grant Taylor, a Christian high-school football coach (Alex Kendrick), gets some very bad news. Besides his and his wife's (Shannen Fields) infertility problems, he faces the attempt of local parents to force the school to replace him. His team, the Shiloh Eagles, has never had a winning season in the six years that he has coached the boys. Following a visitor's message, Grant tries to inspire his team to use faith to conquer fear and opposing teams.","The tropes of both football and evangelical movies are gracelessly on parade in this banal, insipid drama.",PG,"Drama, Faith & Spirituality","Alex Kendrick, Stephen Kendrick","Alex Kendrick, Stephen Kendrick","Alex Kendrick, Shannen Fields, Steve Williams, Bailey Cave, Jason McLeod, Tracy Goode, Chris Willis, Mark Richt, James Blackwell, Jim McBride, Tommy McBride, Ray Wood",2006-09-29,2012-04-16,111.0,Destination Film,Rotten,16.0,25.0,Upright,85.0,88232.0,6,4,21,F
