rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,inicial
m/cabaret,Cabaret,"In Berlin in 1931, American cabaret singer Sally Bowles (Liza Minnelli) meets British academic Brian Roberts (Michael York), who is finishing his university studies. Despite Brian's confusion over his sexuality, the pair become lovers, but the arrival of the wealthy and decadent playboy Maximilian von Heune (Helmut Griem) complicates matters for them both. This love triangle plays out against the rise of the Nazi party and the collapse of the Weimar Republic.","Great performances and evocative musical numbers help Cabaret secure its status as a stylish, socially conscious classic.",PG,"Classics, Drama, Musical & Performing Arts",Bob Fosse,"Jay Presson Allen, Hugh Wheeler","Liza Minnelli, Joel Grey, Michael York, Marisa Berenson, Helmut Griem, Fritz Wepper, Elisabeth Neumann-Viertel, Sigrid Von Richtofen, George Hartmann, Helen Vita, Gerd Vespermann, Ralf Wolter, Georg Hartmann, Ricky Renee, Estrongo Nachama, Kathryn Doby, Inge Jaeger, Angelika Koch, Helen Velkovorska, Gitta Schmidt, Louise Quick",1972-02-13,2008-01-01,124.0,Twentieth Century Fox Home Entertainment,Certified-Fresh,93.0,43.0,Upright,87.0,36098.0,8,40,3,C
m/cabaret_balkan,Cabaret Balkan Bure Baruta,"On a harsh winter night in Belgrade, Serbia, an ex-con working as a taxi driver (Nebojsa Glogovac) has a series of bizarre encounters with tragic passengers from all walks of life, each a part of a patchwork of stories. Elsewhere, Ana (Mirjana Jokovic) survives a bus hijacking, only to find herself caught between a drug dealer and an angry boyfriend. And on the other side of town, passionate showman Boris (Nikola Ristanovski) struggles to entertain a tough crowd in a smoky cabaret.",,R,"Art House & International, Comedy, Drama",Goran Paskaljevic,,"Nikola Ristanovski, Nebojsa Glogovac, Miki Manojlovic, Marko Urosevic, Bogdan Diklic, Dragan Nikolic, Mira Banjac, Danilo 'Bata' Stojkovic, Velimir 'Bata' Zivojinovic, Nebojsa Milovanovic, Aleksandar Bercek, Lazar Ristovski, Voja Brajovic, Ana Sofrenovic, Sergej Trifunovic, Mirjana Jokovic, Ivan Bekjarev, Milena Dravic, Toni Mihajlovski, Ljuba Tadic",1999-07-23,2016-11-19,102.0,Paramount Classics,Fresh,79.0,14.0,Upright,85.0,871.0,6,11,3,C
m/cabin_boy,Cabin Boy,A prep-school snob (Chris Elliott) en route to Hawaii meets unfriendly fishermen aboard the wrong boat.,,PG-13,Comedy,Adam Resnick,Adam Resnick,"Chris Elliott, Ann Magnuson, Ritch Brinkley, James Gammon, Brian Doyle-Murray, Russ Tamblyn, Ricki Lake, David Letterman, Brion James, Sharon Bialy, Melora Walters, Mike Starr, Debi Manwiller, Andy Richter, Alfred Molina, Richard Pagano, I.M. Hobson, Alex Nevil, David Sterry, Bob Elliott, Edward Flotard, Jim Cummings",1994-01-07,2016-02-18,80.0,Buena Vista Pictures,Rotten,46.0,26.0,Spilled,42.0,11658.0,3,12,14,C
m/cabin_fever_2016,Cabin Fever,"Fresh out of college, five friends (Nadine Crocker, Matthew Daddario, Samuel Davis) face the horrors of a flesh-eating virus while staying at a remote cabin.",No need for a quarantine -- enthusiasm for this inert remake is not contagious.,R,Horror,"Travis Zariwny, Eli Roth","Randy Pearlstein, Eli Roth","Gage Golightly, Matthew Daddario, Nadine Crocker, Dustin Ingram, Samuel Davis, Randy Schulman, Louise Linton, George Griffith, Tim Zajaros, Aaron Trainor, Laura Kenny, Bradford Farwell, Derrick Means, Jason Rouse, Benton Morris, Dawson Doupe, Teresa Decher, Lorraine Bahr, Ted Pfeiffer, Michelle Darris, Rider Strong, Jordan Ladd, James DeBello, Cerina Vincent, Joey Kern, Arie Verveen, Tim Parati, Hal Courtney, Matthew Helms, Richard Boone",2016-02-12,2016-10-01,99.0,Pelican Point Media,Rotten,0.0,28.0,Spilled,12.0,695.0,8,0,28,C
m/1125409-cabin_fever,Cabin Fever,"Bert (James DeBello), a college student vacationing with friends in the mountains, mistakenly shoots a local man (Arie Verveen) with a skin infection while hunting in the woods. Panicking, he abandons the scene and leaves the man for dead. When the man stumbles into a reservoir, he infects the water supply, and soon one of Bert's friends becomes infected. The friends struggle to stop the contagious, flesh-eating disease while on the run from a group of ornery backwoods locals out for revenge.","More gory than scary, Cabin Fever is satisfied with paying homage to genre conventions rather than reinventing them.",R,"Horror, Mystery & Suspense",Eli Roth,"Randy Pearlstein, Eli Roth","Rider Strong, Jordan Ladd, Joey Kern, Cerina Vincent, James DeBello, Arie Verveen, Giuseppe Andrews, Robert Harris, Eli Roth, Hal Courtney, Matthew Helms, Richard Boone, Tim Parati, Christy Ward, Michael Harding, Julie Childress, David Kaufbird, Dalton McGuire, Jana Farmer, Dante Walker, Jeff Rendell, R. Brandon Johnson, Philip Fox, Cherie Rodgers, Sam Froelich, Bill Terrell, Richard Terrell, Jeff Evans, Mike Hill, J.K. Godbold, Richard Fullerton, Phil Fox, Darcy Jo Martin, Gabriel A. Roth, Donald Lee Hall Jr., Jeremy A. Metcalf, Noah Belson, Doug McDermott, Matt Cappiello, Jessica Masserman, Paige Hunter, Gino Vincent, Shiloh Strong, Jay Aaseng, Matthew Schwarz, Jessica Shortkoff, Rock, Mark Morse, Heather Simmons, Dean Masserman, Gabriel Roth and the Mirrors, Tom Terrell, Evan Astrowsky, Luke Blackwood, Mark C. Schwarz, Shana Schwarz, Joe Adams, Adam Roth, Jeff Hoffman, Tommy Terrell, John Neff, Nancy Neff, Michael Reardon, Glenn Weisberger, Roy Wood",2002-09-01,2016-05-23,94.0,Lion's Gate Films,Fresh,62.0,140.0,Spilled,44.0,250223.0,34,87,53,C
m/cabin_fever_3_patient_zero,Cabin Fever 3 Patient Zero,"Vacationers think they've found the perfect place for a bachelor party, but a deadly, flesh-eating virus is waiting to infect them.",,NR,"Horror, Mystery & Suspense",Kaare Andrews,Jake Wade Wall,"Ryan Donowho, Brando Eaton, Jillian Murray, Mitch Ryan, Lydia Hearst, Sean Astin, Currie Graham, Solly Duran, Claudette Lali, Juan Papo Bancalari, Marie Bazile, Roberto Linval, Magio Mojica, Omar Luis, Juan Alberto de Burgos, Juan Colon, Jorge Kiko Loubriel, Jerson Guerrero, Jorge Manzano",2014-08-01,2016-08-10,94.0,RLJ/Image Entertainment,Rotten,24.0,21.0,Spilled,14.0,762.0,7,5,16,C
m/cabin_in_the_sky,Cabin In The Sky,"When compulsive gambler Little Joe Jackson (Eddie ""Rochester"" Anderson) dies in a drunken fight, he awakens in purgatory, where he learns that he will be sent back to Earth for six months to prove that he deserves to be in heaven. He awakens, remembering nothing and struggles to do right by his devout wife, Petunia (Ethel Waters), while an angel known as the General (Kenneth Spencer) and the devil's son, Lucifer Jr. (Rex Ingram), fight for his soul.",Cabin in the Sky overcomes some questionable storytelling choices thanks to irresistible musical numbers and a brilliantly talented cast.,NR,"Classics, Drama, Musical & Performing Arts, Science Fiction & Fantasy",Vincente Minnelli,Joseph Schrank,"Ethel Waters, Eddie 'Rochester' Anderson, Lena Horne, Louis Armstrong, Rex Ingram, Kenneth Spencer, John ""Bubbles"" Sublett, Oscar Polk, Mantan Moreland, Willie Best, Fletcher Rivers, Leon James, William Bailey, Ford L. Washington, Ford L. 'Buck' Washington, Butterfly McQueen, Ruby Dandridge, Stewart Nicodemus, Ernest Whitman, Duke Ellington, Archie Savage",1943-04-09,2012-04-16,98.0,WARNER BROTHERS PICTURES,Fresh,85.0,20.0,Upright,81.0,1974.0,6,17,3,C
m/cabiria,Cabiria,"Young Sicilian girl Cabiria (Lidia Quaranta) and her nurse, Croessa (Gina Marangoni), survive a devastating volcanic eruption, only to be taken by Phoenicians to Carthage. As the second of the Punic Wars rages between Carthage and Rome, the pair is sold into slavery, and Cabiria is intended as an offering to the god Moloch and the child-eating statue Kronos. Croessa convinces Roman Fulvius Axilla (Umberto Mozzato) to rescue Cabiria, yet afterward the girl remains in slavery for another decade.",,NR,"Art House & International, Classics, Drama",Giovanni Pastrone,Gabriele D'Annunzio,"Alex Bernard, Italia Almirante-Manzini, Lidia Quaranta, Almirante Manzini, Umberto Mozzato, Bartolomeo Pagano, Luigi Chellini, Ernesto Pagani, Edoardo Davesnes, Enrico Gemelli, Antonio Branioni",1914-06-01,2016-07-01,123.0,Itala Film,Fresh,96.0,26.0,Upright,69.0,1155.0,11,25,1,C
m/cache_2005,Cache,,A creepy French psychological thriller that commands the audience's attention throughout.,R,"Art House & International, Drama, Mystery & Suspense",Michael Haneke,Michael Haneke,"Daniel Auteuil, Juliette Binoche, Maurice Bénichou, Annie Girardot, Lester Makedonsky, Bernard Le Coq, Walid Afkir, Daniel Duval, Nathalie Richard, Denis Podalydès, Aïssa Maïga, Caroline Baehr, Paule Dare, Marie Kremer, Hugo Flamigni, Malik Nait Djoudi, Christian Benedetti, Annette Faure, Diouc Koma",2005-12-23,,,Sony Pictures Classics,Certified-Fresh,89.0,135.0,Upright,78.0,51481.0,37,120,15,C
m/cactus_flower,Cactus Flower,"Distraught when her middle-aged lover breaks a date with her, 21-year-old Toni Simmons (Goldie Hawn) attempts suicide. Impressed by her action, her lover, dentist Julian Winston (Walter Matthau) reconsiders marrying Toni, but he worries about her insistence on honesty. Having fabricated a wife and three children, Julian readily accepts when his devoted nurse, Stephanie (Ingrid Bergman), who has secretly loved Julian for years, offers to act as his wife and demand a divorce.",,PG,"Classics, Comedy",Gene Saks,I.A.L. Diamond,"Walter Matthau, Ingrid Bergman, Goldie Hawn, Jack Weston, Rick Lenz, Vito Scotti, Irene Hervey, Eve Bruce, Irwin Charone, Mathew Saks, Matthew Saks",1969-01-01,2012-04-16,103.0,Sony Pictures Entertainment,Fresh,88.0,17.0,Upright,81.0,4758.0,3,15,2,C
